source,target,source_prin_graph_dim_1,source_prin_graph_dim_2,target_prin_graph_dim_1,target_prin_graph_dim_2
Y_1,Y_18,-5.36746969012301,0.995701839065637,-5.16216817793781,1.03576156063775
Y_1,Y_44,-5.36746969012301,0.995701839065637,-5.57271508597509,0.954254237409849
Y_2,Y_14,3.82244811293784,1.58901255480327,3.98926876377549,1.52331816303573
Y_2,Y_48,3.82244811293784,1.58901255480327,3.6522211995366,1.64922315503612
Y_3,Y_40,2.94322406734849,1.83616339152827,3.12437792462565,1.79784734331099
Y_3,Y_96,2.94322406734849,1.83616339152827,2.76012614697616,1.87010266550066
Y_6,Y_84,-2.52449448771137,1.53906621036387,-2.32354322242295,1.57437369376491
Y_6,Y_90,-2.52449448771137,1.53906621036387,-2.72559658203286,1.50296568069477
Y_7,Y_24,-3.33098945268614,1.39268395439763,-3.53334573939356,1.3552768379105
Y_7,Y_34,-3.33098945268614,1.39268395439763,-3.12888231195387,1.42986282835263
Y_8,Y_9,-6.39475071058796,0.784826115017967,-6.18923263857431,0.828008479483262
Y_8,Y_22,-6.39475071058796,0.784826115017967,-6.60007450347422,0.739806683972299
Y_9,Y_10,-6.18923263857431,0.828008479483262,-5.98365220687493,0.87086548563208
Y_10,Y_19,-5.98365220687493,0.87086548563208,-5.7781648277812,0.912413119377913
Y_11,Y_34,-2.92707124824834,1.46657635437819,-3.12888231195387,1.42986282835263
Y_11,Y_90,-2.92707124824834,1.46657635437819,-2.72559658203286,1.50296568069477
Y_12,Y_18,-4.95698581043127,1.07452255980862,-5.16216817793781,1.03576156063775
Y_12,Y_131,-4.95698581043127,1.07452255980862,-4.75275309367393,1.11714130267543
Y_13,Y_84,-2.12294607298159,1.6088045534301,-2.32354322242295,1.57437369376491
Y_13,Y_126,-2.12294607298159,1.6088045534301,-1.9226117697524,1.64262682463732
Y_14,Y_37,3.98926876377549,1.52331816303573,4.15149326507888,1.45067106770695
Y_15,Y_39,0.45895115009257,1.95153335118918,0.655144411616142,1.9643827426342
Y_15,Y_46,0.45895115009257,1.95153335118918,0.262271281635757,1.93492645960908
Y_16,Y_47,-0.132091615117899,1.89498064094951,0.0652627297042111,1.91635380596601
Y_16,Y_95,-0.132091615117899,1.89498064094951,-0.329749280649635,1.8720020565258
Y_17,Y_104,-1.52262775430927,1.70661273097292,-1.32296625765851,1.73669007462106
Y_17,Y_129,-1.52262775430927,1.70661273097292,-1.72247983158665,1.67545509708013
Y_19,Y_44,-5.7781648277812,0.912413119377913,-5.57271508597509,0.954254237409849
Y_20,Y_24,-3.7357973019211,1.31688185899422,-3.53334573939356,1.3552768379105
Y_20,Y_76,-3.7357973019211,1.31688185899422,-3.93868093085099,1.27792919847284
Y_21,Y_22,-6.8053158867139,0.695181927498034,-6.60007450347422,0.739806683972299
Y_21,Y_132,-6.8053158867139,0.695181927498034,-7.00804436667428,0.644004398725914
Y_26,Y_83,8.67250617742156,-2.13388333728277,8.58682188444714,-2.00904877559757
Y_26,Y_103,8.67250617742156,-2.13388333728277,8.75704235839983,-2.25882194561047
Y_27,Y_43,-10.2723803352091,-0.451106468507797,-10.0922614435083,-0.373862462145987
