"","test_f1_score","test_accuracy","test_recall","test_precision","test_roc","method","tss","cell"
"1",0.785169988276671,0.763808705459037,0.84135043182413,0.736022711662622,0.761737192092038,"With ML","tss","mESC"
"6",0.840982445091711,0.795531037275097,0.82205378784964,0.860803352000322,0.78330990442312,"With ML","tss","organoid"
"11",0.80931400889137,0.781031088320132,0.822080920173343,0.796937573616019,0.774870695461322,"With ML","tss","HEK293T"
"16",0.830344888652765,0.782322199500114,0.805592543275632,0.856666514410999,0.771246007531167,"With ML","tss","ARPE"
"22",0.831762100601076,0.799547681869582,0.845075854975572,0.818861342967485,0.790042939333968,"With ML","tss","hESC"
"46",0.790370999716794,0.90138293053372,0.69415978509601,0.917543398211468,0.835670765246164,"With ML","tes","organoid"
